index	category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40
35	blanket	39	312	40	7	blanket	otherprop	Objects					n02849154	blanket.n.01	39	objects
36	refrigerator	38	17	24	6	refridgerator	refridgerator	Furniture					n04070727	refrigerator.n.01	37	appliances
37	coffee table	38	356	39	6	coffee table	otherfurniture	Furniture	table	table	table	04379243	n03063968	coffee_table.n.01	5	table
38	end table	35	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
39	bedframe	33	157	4	1	bed	bed	Bed					n02822579	bedstead.n.01	11	bed
40	mirror	29	122	19	7	mirror	mirror	Objects					n03773035	mirror.n.01	21	mirror
41	dining table	27	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
42	carpet	26	130	40	7	rug	floor mat	Objects					n04118021	rug.n.01	2	floor
43	stove	25	242	38	7	stove	otherstructure	Objects			stove	04330267	n04330267	stove.n.02	37	appliances
44	person	25	331	31	7	person	person	Objects	person				n05217688	person.n.02	39	objects
45	tv stand	24	291	39	6	tv stand	otherfurniture	Furniture	tv_stand				n03290653	entertainment_center.n.01	36	furniture
46	office chair	24	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n04373704	swivel_chair.n.01	3	chair
47	shower curtain	23	123	28	7	shower curtain	shower curtain	Objects	curtain				n04209239	shower_curtain.n.01	12	curtain
48	headboard	21	161	39	6	headboard	otherfurniture	Furniture					n03502200	headboard.n.01	11	bed
49	stool	19	150	40	7	stool	otherprop	Objects	stool				n04326896	stool.n.01	19	stool
50	faucet	19	9	40	7	faucet	otherprop	Objects			faucet	03325088	n03325088	faucet.n.01	39	objects
51	microwave	19	13	40	7	microwave	otherprop	Objects			microwave	03761084	n03761084	microwave.n.02	37	appliances
52	cushion	18	119	18	7	pillow	pillow	Objects					n03151500	cushion.n.03	8	cushion
53	plant	17	82	40	7	plant	otherprop	Objects	plant				n00017222	plant.n.02	14	plant
54	toy	16	389	40	7	toy	otherprop	Objects					n03964744	plaything.n.01	39	objects
55	bag	16	55	37	7	bag	bag	Objects			suitcase	02773838	n02773838	bag.n.06	39	objects
56	bottle	16	2	40	7	bottle	otherprop	Objects	bottle		bottle	02876657	n02876657	bottle.n.01	39	objects
57	fireplace	15	372	38	7	fireplace	otherstructure	Objects					n03346455	fireplace.n.01	27	fireplace
58	dishwasher	15	8	38	7	dishwasher	otherstructure	Objects			dishwasher	03207941	n03207941	dishwasher.n.01	37	appliances
59	computer	15	46	40	7	computer	otherprop	Objects					n03082979	computer.n.01	39	objects
60	printer	14	66	40	7	printer	otherprop	Objects			printer	04004475	n04004475	printer.n.03	39	objects
61	blinds	12	80	13	13	blinds	blinds	Window					n04589190	window_blind.n.01	32	blinds
62	toilet paper	12	139	40	7	toilet paper	otherprop	Objects					n15075141	toilet_tissue.n.01	39	objects
63	piano	12	298	39	6	piano	otherfurniture	Furniture	piano		piano	03928116	n03928116	piano.n.01	39	objects
64	closet	12		40	7		otherprop	Objects					n03148324	cupboard.n.01	7	cabinet
65	monitor	11	49	40	7	monitor	otherprop	Objects	monitor	monitor	tv or monitor	03211117	n03782190	monitor.n.04	22	tv_monitor
66	shower	11		38	7		otherstructure	Objects					n04208936	shower.n.01	23	shower
67	vanity	11	169	17	6	dresser	dresser	Furniture	dresser	dresser	table	04379243	n03238586	dressing_table.n.01	5	table
68	basket	10	39	40	7	basket	otherprop	Objects			basket	02801938	n02801938	basket.n.01	39	objects
69	paper	10	15	26	7	paper	paper	Objects					n14974264	paper.n.01	39	objects
70	computer tower	10	46	40	7	computer	otherprop	Objects					n03082979	computer.n.01	39	objects
71	keyboard	10	47	40	7	keyboard	otherprop	Objects	keyboard		computer keyboard	03085013	n03085013	computer_keyboard.n.01	39	objects
72	sheet	10	559	40	7	sheet	otherprop	Objects							40	misc
73	wardrobe	10	772	39	6	wardrobe	otherfurniture	Furniture	wardrobe				n04550184	wardrobe.n.01	36	furniture
74	island	10	456	38	7	kitchen island	otherstructure	Objects					n03620600	kitchen_island.n.01	26	counter
75	clock	9	56	40	7	clock	otherprop	Objects			clock	03046257	n03046257	clock.n.01	39	objects
76	light	9	62	38	7	light	otherstructure	Objects					n03665366	light.n.02	28	lighting
77	object	9		40	7		otherprop	Objects					n00002684	object.n.01	39	objects
78	rug	9	130	40	7	rug	floor mat	Objects					n04118021	rug.n.01	2	floor
79	decoration	8		40	7		otherprop	Objects					n03169390	decoration.n.01	39	objects
80	coffee maker	8		40	7		otherprop	Objects					n03063338	coffee_maker.n.01	37	appliances
81	vase	7	78	40	7	vase	otherprop	Objects	vase		jar	03593526	n04522168	vase.n.01	39	objects
82	hamper	7	39	40	7	basket	otherprop	Objects			basket	02801938	n03482405	hamper.n.02	39	objects
83	stuffed animal	7	177	40	7	stuffed animal	otherprop	Objects					n04399382	teddy.n.01	39	objects
84	bedpost	7		40	7		otherprop	Objects					n02821415	bedpost.n.01	11	bed
85	student	7		40	7		otherprop	Objects							40	misc
86	bin	7	307	40	7	bin	otherprop	Objects					n02839910	bin.n.01	39	objects
87	wall decor	7		40	7		otherprop	Objects							40	misc
88	stair	6	215	38	7	stairs	otherstructure	Objects	stairs				n04314914	step.n.04	16	stairs
89	board	6	408	38	7	board	otherstructure	Objects							35	board_panel
90	stand	6	50	39	6	stand	otherfurniture	Furniture	table	table	table	04379243	n04301000	stand.n.04	5	table
91	fan	5	74	40	7	fan	otherprop	Objects					n03320046	fan.n.01	39	objects
92	lampshade	5	859	40	7	lamp shade	otherprop	Objects					n03637318	lampshade.n.01	28	lighting
93	marble	5	60	40	7	ball	otherprop	Objects					n03721047	marble.n.02	39	objects
94	hutch	5		40	7		otherprop	Objects							40	misc
95	wall painting	5	64	11	8	picture	picture	Picture					n03799710	mural.n.01	39	objects
96	ottoman	5	359	39	6	ottoman	otherfurniture	Furniture	stool				n03380724	footstool.n.01	19	stool
97	oven	5	238	38	7	oven	otherstructure	Objects					n03862676	oven.n.01	37	appliances
98	frame	5		38	7		otherstructure	Objects							40	misc
99	doorway	5	609	38	7	door way	otherstructure	Objects	door				n03224032	doorway.n.01	4	door
100	reflection	5	64	11	8	picture	picture	Picture					n04068976	reflection.n.05	6	picture
101	desk chair	5	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
102	entertainment center	4	524	39	6	furniture	otherfurniture	Furniture					n03290653	entertainment_center.n.01	36	furniture
103	window sill	4		40	7		otherprop	Objects							40	misc
104	ladder	4	48	39	6	ladder	otherfurniture	Furniture	stairs				n03632277	ladder.n.01	16	stairs
105	globe	4	347	40	7	globe	otherprop	Objects							40	misc
106	container	4	140	40	7	container	otherprop	Objects					n03094503	container.n.01	39	objects
107	washbasin	4	24	34	7	sink	sink	Objects	sink				n04553920	washbasin.n.01	15	sink
108	chest	4	344	39	6	chest	otherfurniture	Furniture	dresser	dresser					40	misc
109	curtain rod	4	582	38	7	curtain rod	otherstructure	Objects							40	misc
110	bar	4	51	38	7	bar	otherstructure	Objects					n02788689	bar.n.03	39	objects
111	air conditioner	4	79	38	7	air conditioner	otherstructure	Objects					n02686379	air_conditioner.n.01	39	objects
112	portrait	4	64	11	8	picture	picture	Picture					n03987079	portrait.n.02	6	picture
113	outside	4		40	7		otherprop	Objects							40	misc
114	appliance	4		40	7		otherprop	Objects							40	misc
115	photo	4	508	40	7	photo	otherprop	Objects					n03925226	photograph.n.01	6	picture
116	bench	4	204	39	6	bench	otherfurniture	Furniture	bench		bench	02828884	n02828884	bench.n.01	34	seating
117	pillar	4	94	38	7	column	otherstructure	Objects					n03073977	column.n.07	24	column
118	library	4		40	7		otherprop	Objects							40	misc
119	step	4		38	7		otherstructure	Objects					n04314914	step.n.04	16	stairs
120	kitchen counter	4	7	12	6	counter	counter	Furniture	table	table	table	04379243	n03116530	counter.n.01	26	counter
121	hand towel	4	135	27	7	towel	towel	Objects					n03490006	hand_towel.n.01	20	towel
122	plate	4	233	40	7	plate	otherprop	Objects					n03959485	plate.n.04	39	objects
123	alarm clock	4	156	40	7	alarm clock	otherprop	Objects			clock	03046257	n02694662	alarm_clock.n.01	39	objects
124	rack	3	50	39	6	stand	otherfurniture	Furniture					n04038440	rack.n.05	31	shelving
125	lounge chair	3	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03262932	easy_chair.n.01	3	chair
126	dust ruffle	3		40	7		otherprop	Objects							40	misc
127	window frame	3	477	38	7	window frame	otherstructure	Objects					n04589593	window_frame.n.01	9	window
128	shelf content	3		40	7		otherprop	Objects							40	misc
129	bed sheet	3	559	40	7	sheet	otherprop	Objects					n04188179	sheet.n.03	39	objects
130	platform	3		38	7		otherstructure	Objects							40	misc
131	food	3		40	7		otherprop	Objects					n00021265	food.n.01	40	misc
132	comforter	3	484	40	7	comforter	otherprop	Objects					n04033995	quilt.n.01	39	objects
133	chest of drawers	3	524	39	6	furniture	otherfurniture	Furniture	dresser	dresser			n03015254	chest_of_drawers.n.01	13	chest_of_drawers
134	wall mirror reflection	3		40	7		otherprop	Objects							40	misc
135	laundry basket	3	164	40	7	laundry basket	otherprop	Objects			basket	02801938	n03050864	clothes_hamper.n.01	39	objects
136	shower wall	3	21	1	12	wall	wall	Wall					n04208936	shower.n.01	23	shower
137	soap	3	133	40	7	soap	otherprop	Objects					n04253437	soap.n.01	39	objects
138	shoe	3	149	40	7	shoe	otherprop	Objects					n04199027	shoe.n.01	39	objects
139	window shade	3		40	7		otherprop	Objects					n04590129	window_shade.n.01	32	blinds
140	fire extinguisher	3	10	40	7	fire extinguisher	otherprop	Objects					n03345837	fire_extinguisher.n.01	39	objects
141	kitchen desk	3	36	14	10	desk	desk	Table	desk	desk	table	04379243	n03179701	desk.n.01	5	table
142	pot	3	16	40	7	pot	otherprop	Objects					n03991062	pot.n.04	39	objects
143	closet door	3	28	8	12	door	door	Wall	door				n03221720	door.n.01	4	door
144	vessel	3	263	40	7	vessel	otherprop	Objects			watercraft	04530566	n04530566	vessel.n.02	39	objects
145	mannequin	3		40	7		otherprop	Objects					n03717921	mannequin.n.02	39	objects
146	shower door	3	28	8	12	door	door	Wall	door				n04208936	shower.n.01	23	shower
147	tissue	3	648	40	7	tissue	otherprop	Objects							40	misc
148	plaque	3	231	40	7	plaque	otherprop	Objects					n02892201	brass.n.07	40	misc
149	laptop	3	37	40	7	laptop	otherprop	Objects	laptop		laptop	03642806	n03642806	laptop.n.01	39	objects
150	cup	3	35	40	7	cup	otherprop	Objects	cup		cup or mug	03797390	n03797390	mug.n.04	39	objects
151	radiator	3	236	39	6	radiator	otherfurniture	Furniture					n04041069	radiator.n.02	39	objects
152	piano bench	3	460	39	6	piano bench	otherfurniture	Furniture	bench		bench	02828884	n02828884	bench.n.01	34	seating
153	shadow	3		40	7		otherprop	Objects					n08646306	darkness.n.02	39	objects
154	dinning chair	3	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
155	flower vase	3	78	40	7	vase	otherprop	Objects	vase		jar	03593526	n04522168	vase.n.01	39	objects
156	magazine	3	71	40	7	magazine	otherprop	Objects					n06595351	magazine.n.01	39	objects
157	ironing board	3	313	39	6	ironing board	otherfurniture	Furniture					n03586090	ironing_board.n.01	39	objects
158	cover	3	312	40	7	blanket	otherprop	Objects							40	misc
159	windowsill	2		38	7		otherstructure	Objects					n04590263	windowsill.n.01	9	window
160	wall hanging	2		40	7		otherprop	Objects					n03491178	hanging.n.01	39	objects
161	guy	2	835	39	6	tent	otherfurniture	Furniture					n03471779	guy.n.03	39	objects
162	bicycle	2	189	40	7	bicycle	otherprop	Objects			bicycle	02834778	n02834778	bicycle.n.01	39	objects
163	cardboard	2		40	7		otherprop	Objects							40	misc
164	luggage	2	783	40	7	luggage	otherprop	Objects					n02774630	baggage.n.01	39	objects
165	shower gel	2		40	7		otherprop	Objects							40	misc
166	futon	2	576	39	6	mattress	otherfurniture	Furniture					n03408444	futon.n.01	11	bed
167	roof	2	4	22	3	ceiling	ceiling	Ceiling					n04105068	roof.n.01	17	ceiling
168	china cabinet	2	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n03018349	china_cabinet.n.01	7	cabinet
169	paper towel	2	113	40	7	paper towel	otherprop	Objects					n03887697	paper_towel.n.01	20	towel
170	knickknack	2		40	7		otherprop	Objects							40	misc
171	notebook	2	210	40	7	notebook	otherprop	Objects					n03832673	notebook.n.02	39	objects
172	linen	2		40	7		otherprop	Objects					n03672521	linen.n.01	39	objects
173	footstool	2	359	39	6	ottoman	otherfurniture	Furniture	stool				n03380724	footstool.n.01	19	stool
174	box fan	2	74	40	7	fan	otherprop	Objects							40	misc
175	slide	2	814	39	6	slide	otherfurniture	Furniture					n04238128	slide.n.04	39	objects
176	computer desk	2	36	14	10	desk	desk	Table	desk	desk	table	04379243	n03179701	desk.n.01	5	table
177	picture frame	2	64	11	8	picture	picture	Picture					n03931765	picture_frame.n.01	6	picture
178	file cabinet	2	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
179	step stool	2	276	40	7	step stool	otherprop	Objects	stool				n04315713	step_stool.n.01	19	stool
180	crib	2	485	39	6	crib	otherfurniture	Furniture							40	misc
181	hallway wall	2	21	1	12	wall	wall	Wall							40	misc
182	leather couch	2		40	7		otherprop	Objects							40	misc
183	sink bowl	2	22	40	7	bowl	otherprop	Objects	bowl		bowl	02880940	n02880940	bowl.n.03	39	objects
184	blackboard	2	225	38	7	blackboard	otherstructure	Objects					n02846511	blackboard.n.01	39	objects
185	baseboard	2		38	7		otherstructure	Objects					n02800354	baseboard.n.01	1	wall
186	dog	2	701	40	7	dog	otherprop	Objects							40	misc
187	painting	2	64	11	8	picture	picture	Picture					n03876519	painting.n.01	39	objects
188	cabinet door	2	28	8	12	door	door	Wall	door						40	misc
189	recliner	2	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n04062428	recliner.n.01	3	chair
190	wood	2		40	7		otherprop	Objects							40	misc
191	bar chair	2	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
192	dog bed	2	858	39	6	dog bed	otherfurniture	Furniture	bed	bed	bed	02818832	n02818832	bed.n.01	11	bed
193	seat	2	524	39	6	furniture	otherfurniture	Furniture					n04161981	seat.n.03	34	seating
194	foot board	2	408	38	7	board	otherstructure	Objects							40	misc
195	cubby	2		40	7		otherprop	Objects					n03144365	cubby.n.01	40	misc
196	dish rack	2	581	40	7	dish rack	otherprop	Objects					n03207630	dish_rack.n.01	40	misc
197	recycle bin	2	307	40	7	bin	otherprop	Objects							40	misc
198	cutting board	2	247	40	7	cutting board	otherprop	Objects					n03025513	chopping_board.n.01	39	objects
199	moving box	2	26	29	7	box	box	Objects							40	misc
200	vent	2	25	38	7	air vent	otherstructure	Objects					n04526241	vent.n.01	39	objects
201	kitchen chair	2	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
202	dental cabinet	2	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
203	storage cabinet	2	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
204	folding chair	2	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03376595	folding_chair.n.01	3	chair
205	bowl	2	22	40	7	bowl	otherprop	Objects	bowl		bowl	02880940	n02880940	bowl.n.03	39	objects
206	pan	2	589	40	7	pan	otherprop	Objects					n03880531	pan.n.01	39	objects
207	paper towel dispenser	2	14	40	7	paper towel dispenser	otherprop	Objects							40	misc
208	toy table	2	526	40	7	toy table	otherprop	Objects	table	table	table	04379243	n04379243	table.n.02	5	table
209	lamp fixture	2		40	7		otherprop	Objects							40	misc
210	rocking chair	2	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n04099969	rocking_chair.n.01	3	chair
211	shower stall	2		40	7		otherprop	Objects					n04209613	shower_stall.n.01	40	misc
212	kitchen island	2	456	38	7	kitchen island	otherstructure	Objects					n03620600	kitchen_island.n.01	26	counter
213	doll	2	99	40	7	doll	otherprop	Objects					n03219135	doll.n.01	39	objects
214	kettle	2	16	40	7	pot	otherprop	Objects					n03612814	kettle.n.01	39	objects
215	bathroom product	2		40	7		otherprop	Objects							40	misc
216	mixer	2		40	7		otherprop	Objects							40	misc
217	heater	2	111	39	6	heater	otherfurniture	Furniture					n03508101	heater.n.01	39	objects
218	cloth	2		40	7		otherprop	Objects					n03309808	fabric.n.01	39	objects
219	spice	2		40	7		otherprop	Objects							40	misc
220	box spring	2		40	7		otherprop	Objects					n02886321	box_spring.n.01	39	objects
221	file	2	75	40	7	file	otherprop	Objects			filing_cabinet	03337140	n03337140	file.n.03	36	furniture
222	tissue box	2	138	40	7	tissue box	otherprop	Objects							40	misc
223	hall table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
224	hanging scroll	1		40	7		otherprop	Objects							40	misc
225	wreath	1	881	40	7	wreathe	otherprop	Objects					n04606014	wreath.n.01	39	objects
226	shelf unit	1		40	7		otherprop	Objects							40	misc
227	pet bed	1	157	4	1	bed	bed	Bed	bed	bed	bed	02818832	n02818832	bed.n.01	11	bed
228	window seat	1	777	38	7	window seat	otherstructure	Objects	bench		bench	02828884	n04590021	window_seat.n.01	34	seating
229	window seal	1	777	38	7	window seat	otherstructure	Objects							40	misc
230	both towel	1	135	27	7	towel	towel	Objects							40	misc
231	wall display	1		40	7		otherprop	Objects							40	misc
232	stored box	1	26	29	7	box	box	Objects							40	misc
233	reflection of sink	1	24	34	7	sink	sink	Objects	sink						40	misc
234	door in mirror	1	122	19	7	mirror	mirror	Objects							40	misc
235	cable	1	450	40	7	cables	otherprop	Objects							40	misc
236	windowpane	1	59	9	13	window	window	Window					n02662825	windowpane.n.02	9	window
237	dentist chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
238	cat bed	1	608	39	6	cat bed	otherfurniture	Furniture	bed	bed	bed	02818832	n02818832	bed.n.01	11	bed
239	wine cooler	1	427	40	7	bucket	otherprop	Objects					n04591887	wine_bucket.n.01	39	objects
240	french door	1	28	8	12	door	door	Wall	door				n03394649	french_door.n.01	4	door
241	cubbyhole	1		40	7		otherprop	Objects							40	misc
242	children chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
243	banister	1	453	38	7	banister	otherstructure	Objects					n02788148	bannister.n.02	30	railing
244	doorframe	1	615	38	7	door frame	otherstructure	Objects					n03222722	doorframe.n.01	4	door
245	water	1		40	7		otherprop	Objects					n04562658	water_system.n.02	39	objects
246	china	1	267	40	7	utensil	otherprop	Objects					n03018209	china.n.02	39	objects
247	paining	1		40	7		otherprop	Objects							40	misc
248	beanbag	1	797	39	6	bean bag	otherfurniture	Furniture					n02816656	beanbag.n.01	3	chair
249	framed wall art	1		40	7		otherprop	Objects							40	misc
250	cosmetic	1		40	7		otherprop	Objects					n03113152	cosmetic.n.01	39	objects
251	mirror frame	1	122	19	7	mirror	mirror	Objects					n03773035	mirror.n.01	21	mirror
252	lamppost	1		40	7		otherprop	Objects					n03637181	lamppost.n.01	24	column
253	floor by sinks	1		40	7		otherprop	Objects							40	misc
254	chair seat	1		40	7		otherprop	Objects							40	misc
255	splash	1		40	7		otherprop	Objects					n04682319	splash.n.04	39	objects
256	light switch	1	301	38	7	light switch	otherstructure	Objects					n04372370	switch.n.01	39	objects
257	feet rug	1	130	40	7	rug	floor mat	Objects							40	misc
258	air purifier	1		40	7		otherprop	Objects							40	misc
259	dining room chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
260	leg rest	1		40	7		otherprop	Objects							40	misc
261	glass	1	612	38	7	glass	otherstructure	Objects					n03438257	glass.n.02	39	objects
262	stick	1	529	40	7	stick	otherprop	Objects							40	misc
263	bird statue	1		40	7		otherprop	Objects							40	misc
264	grill	1	700	38	7	grill	otherstructure	Objects					n03459591	grill.n.02	40	misc
265	room	1		40	7		otherprop	Objects					n04105893	room.n.01	40	misc
266	car	1	530	40	7	car	otherprop	Objects	car		car	02958343	n02958343	car.n.01	39	objects
267	cat	1	594	40	7	cat	otherprop	Objects							40	misc
268	stair con	1		40	7		otherprop	Objects							40	misc
269	plinth	1	94	38	7	column	otherstructure	Objects					n03903868	pedestal.n.03	40	misc
270	water can	1	329	40	7	can	otherprop	Objects			can	02946921	n02946921	can.n.01	39	objects
271	plunger	1		40	7		otherprop	Objects					n03970156	plunger.n.03	39	objects
272	pile of blankets	1		40	7		otherprop	Objects							40	misc
273	bathroom slipper	1		40	7		otherprop	Objects					n04241394	slipper.n.01	39	objects
274	book stand	1	50	39	6	stand	otherfurniture	Furniture							40	misc
275	round table	1	19	7	10	table	table	Table	table	table	table	04379243	n04114554	round_table.n.02	5	table
276	clothes and boxes	1		40	7		otherprop	Objects							40	misc
277	folgers coffee tub	1	136	36	7	bathtub	bathtub	Objects	bathtub	bathtub	tub	02808440	n02808440	bathtub.n.01	25	bathtub
278	wall panel	1	21	1	12	wall	wall	Wall					n04548503	wall_panel.n.01	35	board_panel
279	open door shown in mirror	1	122	19	7	mirror	mirror	Objects							40	misc
280	toaster oven	1	275	40	7	toaster oven	otherprop	Objects					n04442441	toaster_oven.n.01	37	appliances
281	freezer	1	17	24	6	refridgerator	refridgerator	Furniture					n03170635	deep-freeze.n.01	37	appliances
282	throw blanket	1	312	40	7	blanket	otherprop	Objects							40	misc
283	laundry	1		40	7		otherprop	Objects					n03648219	laundry.n.01	38	clothes
284	mat	1	143	20	5	floor mat	floor mat	Floor					n03727837	mat.n.01	2	floor
285	staircase	1	215	38	7	stairs	otherstructure	Objects					n04298308	stairway.n.01	16	stairs
286	accessory	1		40	7		otherprop	Objects					n02671780	accessory.n.01	38	clothes
287	kitchen drawer	1	174	39	6	drawer	otherfurniture	Furniture					n03233905	drawer.n.01	13	chest_of_drawers
288	foosball table	1	510	39	6	foosball table	otherfurniture	Furniture	table	table	table	04379243	n04379243	table.n.02	5	table
289	book bag	1	55	37	7	bag	bag	Objects					n02870676	book_bag.n.01	39	objects
290	hippo stuffed animal	1		40	7		otherprop	Objects							40	misc
291	box of tissues	1		40	7		otherprop	Objects							40	misc
292	storage bin	1	812	40	7	storage bin	otherprop	Objects							40	misc
293	desk object	1		40	7		otherprop	Objects							40	misc
294	medicine cabinet	1	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n03742115	medicine_chest.n.01	7	cabinet
295	wall/pictures	1		40	7		otherprop	Objects							40	misc
296	bathroom desk	1	36	14	10	desk	desk	Table	desk	desk	table	04379243	n03179701	desk.n.01	5	table
297	oven mitt	1	754	40	7	oven mitt	otherprop	Objects							40	misc
298	legs of end table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
299	speaker	1	54	40	7	speaker	otherprop	Objects			speaker	03691459	n03691459	loudspeaker.n.01	39	objects
300	under bed	1	157	4	1	bed	bed	Bed	bed	bed	bed	02818832	n02818832	bed.n.01	11	bed
301	circle chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
302	spice rack	1	241	38	7	spice rack	otherstructure	Objects					n04275175	spice_rack.n.01	31	shelving
303	toothbrush holder	1	126	40	7	toothbrush holder	otherprop	Objects							40	misc
304	bed rest	1		40	7		otherprop	Objects							40	misc
305	cage	1		40	7		otherprop	Objects							40	misc
306	kitchen table	1	19	7	10	table	table	Table	table	table	table	04379243	n03620967	kitchen_table.n.01	5	table
307	object on wall/picture	1		40	7		otherprop	Objects							40	misc
308	bean bag pillow	1	119	18	7	pillow	pillow	Objects			pillow	03938244	n03938244	pillow.n.01	8	cushion
309	telescope	1	467	40	7	telescope	otherprop	Objects					n04403638	telescope.n.01	39	objects
310	weight	1		40	7		otherprop	Objects					n04571292	weight.n.02	33	gym_equipment
311	fixture	1		40	7		otherprop	Objects					n03354613	fixture.n.01	39	objects
